fare_amount,passenger_count_2.0,passenger_count_3.0,passenger_count_4.0,passenger_count_5.0,passenger_count_6.0,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,session_evening,session_morning,session_night_AM,session_night_PM,season_summer,season_winter,week_weekend,distance_km
4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.130864573
16.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.079345452
5.7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.176561826
7.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0.355351162
5.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.25399324
12.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.481460798
7.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.197573623
16.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.528736505
8.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.361863723
5.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0.175100774
4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.091462566
7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.256352094
7.7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.212194564
12.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.331281829
5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192311041
5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.117466819
4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.05067117
10.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.214224324
11.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.291013375
4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.117473507
4.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.178696045
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.129646674
7.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.321690114
4.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.041796313
9.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.51725353
4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.10258361
5.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.110777178
11.90667443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.541510873
5.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.175855946
18.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.907661518
21.26913835,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0.85741289
4.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.102488656
5.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.121199568
9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0.298069054
9.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.455199156
8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.208641869
10.9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.636969316
17.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.730204852
12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.693242061
5.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.120650446
6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.32357335
4.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.126384086
3.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.058708128
3.3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.069915756
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.209333578
9.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.317442552
5.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.128678045
8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.290060387
7.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.026346736
19.20425973,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.685505427
15.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.640277104
13.39805731,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.651594859
9.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0.215436521
13.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.806403967
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.161305382
5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.054818794
4.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.156485995
4.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.123833417
7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.184318382
7.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.206009719
8.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.141434819
16.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.474612458
11.5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0.42903361
6.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.117363157
3.7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.107112553
6.9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.134155393
